mechanism	gene_or_pathway	evidence_type	evidence_tier	resources_supporting	artifact_risk	biological_interpretation	relevance_to_aging_longevity	translational_relevance	required_validation	claim_language_guardrail
DNA repair/genome stability	ERCC1	candidate_presence_or_not_assessed;phase8a_retina_expression_support_cautious;phase8b_final_tier_audit	Tier 2	ARAD_REFSEQ_2026;RTYP_REFSEQ_2022;SMIC_TOKYO_GENOME_2025;results\rnaseq\salmon\SRR32965275\quant.sf;results/rnaseq/phase7c_candidate_reference_validation.tsv;data/interim/rnaseq/phase7c/smic_tokyo.tx2gene.tsv;results/rnaseq/phase7d_candidate_expression_matrix.tsv;results/rnaseq/phase7d_salmon_quant_summary.tsv;results/orthology/candidate_duplication_audit.tsv;results/rnaseq/phase7e_candidate_expression_hardened.tsv;results/rnaseq/phase7e_run_qc_review.tsv;results/rnaseq/phase7e_parameter_review.tsv;results/evidence/phase8a_expression_support_evidence.tsv;results/evidence/phase8b_tier_audit.tsv	moderate;moderate_isoform_summarization_risk;low_mapping_rate_caveat;very_low_mapping_rate_caveat;phase7e_retina_expression_qc_caveat;phase8b_artifact_risk_moderate	Plausible but incomplete computational evidence. Phase 7e records cautious retina-specific expression detection for ERCC1 in 3/3 quantified runs (median TPM 6.396053). This supports transcript detection in retina only and does not establish differential expression, pathway state, function, or longevity mechanism. Phase 8b final audit retains Tier 2 and classifies this candidate as PLAUSIBLE_LEAD_REQUIRES_VALIDATION with moderate artifact-risk level. This is a reporting-readiness classification, not a new biological mechanism claim.	Hypothesis-generating; requires validation before biological interpretation. Phase 7e adds retina-specific expression context only; the integrated biological tier is unchanged. Phase 8b does not upgrade aging or longevity relevance beyond the validated evidence tier.	NOT_ASSESSED	REQUIRES_VALIDATION: confirm orthology, domain integrity, and annotation consistency before biological interpretation.;Run read QC, quantify with recorded parameters, review multi-mapping and isoform/paralog ambiguity, and keep interpretation retina-specific.;Confirm expression-support interpretation with decoy-aware Salmon or genome-aligned counting for ambiguous loci before Phase 8 claims.;Do not upgrade biological evidence tier from expression alone.;Require orthology, locus identity, domain integrity, cross-resource support, and expression-reference validation before stronger claims.;Phase 8b final tier audit requires all mechanism-level claims to remain traceable to supporting tables and validation caveats.	Avoid activated/inactivated/absent/causal wording unless direct evidence supports it.;Use Phase 7e only for retina-specific detected/not-detected expression support. Do not infer activation, differential expression, pathway state, organism-wide aging, causation, functional advantage, gene absence, or longevity mechanism.;Phase 8a expression context cannot upgrade biological tiers without all required validation criteria.;Phase 8b is a conservative audit layer. Do not infer mechanism, pathway activity, functional advantage, clinical relevance, causation, validated duplication, telomere length, or organism-wide aging from this table alone.
DNA repair/genome stability	ERCC4	candidate_presence_or_not_assessed;phase8a_retina_expression_support_cautious;phase8b_final_tier_audit	Tier 2	ARAD_REFSEQ_2026;CMIL_REFSEQ_2021;RTYP_REFSEQ_2022;SCAN_REFSEQ_2026;SMIC_TOKYO_GENOME_2025;results\rnaseq\salmon\SRR32965275\quant.sf;results/rnaseq/phase7c_candidate_reference_validation.tsv;data/interim/rnaseq/phase7c/smic_tokyo.tx2gene.tsv;results/rnaseq/phase7d_candidate_expression_matrix.tsv;results/rnaseq/phase7d_salmon_quant_summary.tsv;results/orthology/candidate_duplication_audit.tsv;results/rnaseq/phase7e_candidate_expression_hardened.tsv;results/rnaseq/phase7e_run_qc_review.tsv;results/rnaseq/phase7e_parameter_review.tsv;results/evidence/phase8a_expression_support_evidence.tsv;results/evidence/phase8b_tier_audit.tsv	low;low_reference_mapping_risk;low_mapping_rate_caveat;very_low_mapping_rate_caveat;phase7e_retina_expression_qc_caveat;phase8b_artifact_risk_low	Plausible but incomplete computational evidence. Phase 7e records cautious retina-specific expression detection for ERCC4 in 3/3 quantified runs (median TPM 6.556287). This supports transcript detection in retina only and does not establish differential expression, pathway state, function, or longevity mechanism. Phase 8b final audit retains Tier 2 and classifies this candidate as PLAUSIBLE_LEAD_REQUIRES_VALIDATION with low artifact-risk level. This is a reporting-readiness classification, not a new biological mechanism claim.	Hypothesis-generating; requires validation before biological interpretation. Phase 7e adds retina-specific expression context only; the integrated biological tier is unchanged. Phase 8b does not upgrade aging or longevity relevance beyond the validated evidence tier.	NOT_ASSESSED	REQUIRES_VALIDATION: confirm orthology, domain integrity, and annotation consistency before biological interpretation.;Run read QC, quantify with recorded parameters, review multi-mapping and isoform/paralog ambiguity, and keep interpretation retina-specific.;Confirm expression-support interpretation with decoy-aware Salmon or genome-aligned counting for ambiguous loci before Phase 8 claims.;Do not upgrade biological evidence tier from expression alone.;Require orthology, locus identity, domain integrity, cross-resource support, and expression-reference validation before stronger claims.;Phase 8b final tier audit requires all mechanism-level claims to remain traceable to supporting tables and validation caveats.	Avoid activated/inactivated/absent/causal wording unless direct evidence supports it.;Use Phase 7e only for retina-specific detected/not-detected expression support. Do not infer activation, differential expression, pathway state, organism-wide aging, causation, functional advantage, gene absence, or longevity mechanism.;Phase 8a expression context cannot upgrade biological tiers without all required validation criteria.;Phase 8b is a conservative audit layer. Do not infer mechanism, pathway activity, functional advantage, clinical relevance, causation, validated duplication, telomere length, or organism-wide aging from this table alone.
DNA repair/genome stability	BRCA1	candidate_presence_or_not_assessed;phase8a_retina_expression_support_cautious;phase8b_final_tier_audit	Tier 2	ARAD_REFSEQ_2026;CMIL_REFSEQ_2021;RTYP_REFSEQ_2022;SCAN_REFSEQ_2026;SMIC_TOKYO_GENOME_2025;results\rnaseq\salmon\SRR32965275\quant.sf;results/rnaseq/phase7c_candidate_reference_validation.tsv;data/interim/rnaseq/phase7c/smic_tokyo.tx2gene.tsv;results/rnaseq/phase7d_candidate_expression_matrix.tsv;results/rnaseq/phase7d_salmon_quant_summary.tsv;results/orthology/candidate_duplication_audit.tsv;results/rnaseq/phase7e_candidate_expression_hardened.tsv;results/rnaseq/phase7e_run_qc_review.tsv;results/rnaseq/phase7e_parameter_review.tsv;results/evidence/phase8a_expression_support_evidence.tsv;results/evidence/phase8b_tier_audit.tsv	low;low_reference_mapping_risk;low_mapping_rate_caveat;very_low_mapping_rate_caveat;phase7e_retina_expression_qc_caveat;phase8b_artifact_risk_low	Plausible but incomplete computational evidence. Phase 7e records cautious retina-specific expression detection for BRCA1 in 3/3 quantified runs (median TPM 1.803334). This supports transcript detection in retina only and does not establish differential expression, pathway state, function, or longevity mechanism. Phase 8b final audit retains Tier 2 and classifies this candidate as PLAUSIBLE_LEAD_REQUIRES_VALIDATION with low artifact-risk level. This is a reporting-readiness classification, not a new biological mechanism claim.	Hypothesis-generating; requires validation before biological interpretation. Phase 7e adds retina-specific expression context only; the integrated biological tier is unchanged. Phase 8b does not upgrade aging or longevity relevance beyond the validated evidence tier.	NOT_ASSESSED	REQUIRES_VALIDATION: confirm orthology, domain integrity, and annotation consistency before biological interpretation.;Run read QC, quantify with recorded parameters, review multi-mapping and isoform/paralog ambiguity, and keep interpretation retina-specific.;Confirm expression-support interpretation with decoy-aware Salmon or genome-aligned counting for ambiguous loci before Phase 8 claims.;Do not upgrade biological evidence tier from expression alone.;Require orthology, locus identity, domain integrity, cross-resource support, and expression-reference validation before stronger claims.;Phase 8b final tier audit requires all mechanism-level claims to remain traceable to supporting tables and validation caveats.	Avoid activated/inactivated/absent/causal wording unless direct evidence supports it.;Use Phase 7e only for retina-specific detected/not-detected expression support. Do not infer activation, differential expression, pathway state, organism-wide aging, causation, functional advantage, gene absence, or longevity mechanism.;Phase 8a expression context cannot upgrade biological tiers without all required validation criteria.;Phase 8b is a conservative audit layer. Do not infer mechanism, pathway activity, functional advantage, clinical relevance, causation, validated duplication, telomere length, or organism-wide aging from this table alone.
DNA repair/genome stability	MSH2	candidate_presence_or_not_assessed;phase8a_retina_expression_support_cautious;phase8b_final_tier_audit	Tier 2	ARAD_REFSEQ_2026;CMIL_REFSEQ_2021;RTYP_REFSEQ_2022;SCAN_REFSEQ_2026;SMIC_TOKYO_GENOME_2025;results\rnaseq\salmon\SRR32965275\quant.sf;results/rnaseq/phase7c_candidate_reference_validation.tsv;data/interim/rnaseq/phase7c/smic_tokyo.tx2gene.tsv;results/rnaseq/phase7d_candidate_expression_matrix.tsv;results/rnaseq/phase7d_salmon_quant_summary.tsv;results/orthology/candidate_duplication_audit.tsv;results/rnaseq/phase7e_candidate_expression_hardened.tsv;results/rnaseq/phase7e_run_qc_review.tsv;results/rnaseq/phase7e_parameter_review.tsv;results/evidence/phase8a_expression_support_evidence.tsv;results/evidence/phase8b_tier_audit.tsv	moderate;moderate_isoform_summarization_risk;low_mapping_rate_caveat;very_low_mapping_rate_caveat;phase7e_retina_expression_qc_caveat;phase8b_artifact_risk_moderate	Plausible but incomplete computational evidence. Phase 7e records cautious retina-specific expression detection for MSH2 in 3/3 quantified runs (median TPM 19.496973). This supports transcript detection in retina only and does not establish differential expression, pathway state, function, or longevity mechanism. Phase 8b final audit retains Tier 2 and classifies this candidate as PLAUSIBLE_LEAD_REQUIRES_VALIDATION with moderate artifact-risk level. This is a reporting-readiness classification, not a new biological mechanism claim.	Hypothesis-generating; requires validation before biological interpretation. Phase 7e adds retina-specific expression context only; the integrated biological tier is unchanged. Phase 8b does not upgrade aging or longevity relevance beyond the validated evidence tier.	NOT_ASSESSED	REQUIRES_VALIDATION: confirm orthology, domain integrity, and annotation consistency before biological interpretation.;Run read QC, quantify with recorded parameters, review multi-mapping and isoform/paralog ambiguity, and keep interpretation retina-specific.;Confirm expression-support interpretation with decoy-aware Salmon or genome-aligned counting for ambiguous loci before Phase 8 claims.;Do not upgrade biological evidence tier from expression alone.;Require orthology, locus identity, domain integrity, cross-resource support, and expression-reference validation before stronger claims.;Phase 8b final tier audit requires all mechanism-level claims to remain traceable to supporting tables and validation caveats.	Avoid activated/inactivated/absent/causal wording unless direct evidence supports it.;Use Phase 7e only for retina-specific detected/not-detected expression support. Do not infer activation, differential expression, pathway state, organism-wide aging, causation, functional advantage, gene absence, or longevity mechanism.;Phase 8a expression context cannot upgrade biological tiers without all required validation criteria.;Phase 8b is a conservative audit layer. Do not infer mechanism, pathway activity, functional advantage, clinical relevance, causation, validated duplication, telomere length, or organism-wide aging from this table alone.
p53 pathway	MDM2	candidate_presence_or_not_assessed;phase8a_retina_expression_support_cautious;phase8b_final_tier_audit	Tier 2	ARAD_REFSEQ_2026;CMIL_REFSEQ_2021;RTYP_REFSEQ_2022;SCAN_REFSEQ_2026;SMIC_TOKYO_GENOME_2025;results\rnaseq\salmon\SRR32965275\quant.sf;results/rnaseq/phase7c_candidate_reference_validation.tsv;data/interim/rnaseq/phase7c/smic_tokyo.tx2gene.tsv;results/rnaseq/phase7d_candidate_expression_matrix.tsv;results/rnaseq/phase7d_salmon_quant_summary.tsv;results/orthology/candidate_duplication_audit.tsv;results/rnaseq/phase7e_candidate_expression_hardened.tsv;results/rnaseq/phase7e_run_qc_review.tsv;results/rnaseq/phase7e_parameter_review.tsv;results/evidence/phase8a_expression_support_evidence.tsv;results/evidence/phase8b_tier_audit.tsv	moderate;moderate_isoform_summarization_risk;low_mapping_rate_caveat;very_low_mapping_rate_caveat;phase7e_retina_expression_qc_caveat;phase8b_artifact_risk_moderate	Plausible but incomplete computational evidence. Phase 7e records cautious retina-specific expression detection for MDM2 in 3/3 quantified runs (median TPM 18.540441). This supports transcript detection in retina only and does not establish differential expression, pathway state, function, or longevity mechanism. Phase 8b final audit retains Tier 2 and classifies this candidate as PLAUSIBLE_LEAD_REQUIRES_VALIDATION with moderate artifact-risk level. This is a reporting-readiness classification, not a new biological mechanism claim.	Hypothesis-generating; requires validation before biological interpretation. Phase 7e adds retina-specific expression context only; the integrated biological tier is unchanged. Phase 8b does not upgrade aging or longevity relevance beyond the validated evidence tier.	NOT_ASSESSED	REQUIRES_VALIDATION: confirm orthology, domain integrity, and annotation consistency before biological interpretation.;Run read QC, quantify with recorded parameters, review multi-mapping and isoform/paralog ambiguity, and keep interpretation retina-specific.;Confirm expression-support interpretation with decoy-aware Salmon or genome-aligned counting for ambiguous loci before Phase 8 claims.;Do not upgrade biological evidence tier from expression alone.;Require orthology, locus identity, domain integrity, cross-resource support, and expression-reference validation before stronger claims.;Phase 8b final tier audit requires all mechanism-level claims to remain traceable to supporting tables and validation caveats.	Avoid activated/inactivated/absent/causal wording unless direct evidence supports it.;Use Phase 7e only for retina-specific detected/not-detected expression support. Do not infer activation, differential expression, pathway state, organism-wide aging, causation, functional advantage, gene absence, or longevity mechanism.;Phase 8a expression context cannot upgrade biological tiers without all required validation criteria.;Phase 8b is a conservative audit layer. Do not infer mechanism, pathway activity, functional advantage, clinical relevance, causation, validated duplication, telomere length, or organism-wide aging from this table alone.
p53 pathway	ATM	candidate_presence_or_not_assessed;phase8a_retina_expression_support_cautious;phase8b_final_tier_audit	Tier 2	ARAD_REFSEQ_2026;CMIL_REFSEQ_2021;RTYP_REFSEQ_2022;SCAN_REFSEQ_2026;SMIC_TOKYO_GENOME_2025;results\rnaseq\salmon\SRR32965275\quant.sf;results/rnaseq/phase7c_candidate_reference_validation.tsv;data/interim/rnaseq/phase7c/smic_tokyo.tx2gene.tsv;results/rnaseq/phase7d_candidate_expression_matrix.tsv;results/rnaseq/phase7d_salmon_quant_summary.tsv;results/orthology/candidate_duplication_audit.tsv;results/rnaseq/phase7e_candidate_expression_hardened.tsv;results/rnaseq/phase7e_run_qc_review.tsv;results/rnaseq/phase7e_parameter_review.tsv;results/evidence/phase8a_expression_support_evidence.tsv;results/evidence/phase8b_tier_audit.tsv	low;low_reference_mapping_risk;low_mapping_rate_caveat;very_low_mapping_rate_caveat;phase7e_retina_expression_qc_caveat;phase8b_artifact_risk_low	Plausible but incomplete computational evidence. Phase 7e records cautious retina-specific expression detection for ATM in 3/3 quantified runs (median TPM 16.365157). This supports transcript detection in retina only and does not establish differential expression, pathway state, function, or longevity mechanism. Phase 8b final audit retains Tier 2 and classifies this candidate as PLAUSIBLE_LEAD_REQUIRES_VALIDATION with low artifact-risk level. This is a reporting-readiness classification, not a new biological mechanism claim.	Hypothesis-generating; requires validation before biological interpretation. Phase 7e adds retina-specific expression context only; the integrated biological tier is unchanged. Phase 8b does not upgrade aging or longevity relevance beyond the validated evidence tier.	NOT_ASSESSED	REQUIRES_VALIDATION: confirm orthology, domain integrity, and annotation consistency before biological interpretation.;Run read QC, quantify with recorded parameters, review multi-mapping and isoform/paralog ambiguity, and keep interpretation retina-specific.;Confirm expression-support interpretation with decoy-aware Salmon or genome-aligned counting for ambiguous loci before Phase 8 claims.;Do not upgrade biological evidence tier from expression alone.;Require orthology, locus identity, domain integrity, cross-resource support, and expression-reference validation before stronger claims.;Phase 8b final tier audit requires all mechanism-level claims to remain traceable to supporting tables and validation caveats.	Avoid activated/inactivated/absent/causal wording unless direct evidence supports it.;Use Phase 7e only for retina-specific detected/not-detected expression support. Do not infer activation, differential expression, pathway state, organism-wide aging, causation, functional advantage, gene absence, or longevity mechanism.;Phase 8a expression context cannot upgrade biological tiers without all required validation criteria.;Phase 8b is a conservative audit layer. Do not infer mechanism, pathway activity, functional advantage, clinical relevance, causation, validated duplication, telomere length, or organism-wide aging from this table alone.
p53 pathway	CHEK2	candidate_presence_or_not_assessed;phase8a_retina_expression_support_cautious;phase8b_final_tier_audit	Tier 2	ARAD_REFSEQ_2026;CMIL_REFSEQ_2021;RTYP_REFSEQ_2022;SCAN_REFSEQ_2026;SMIC_TOKYO_GENOME_2025;results\rnaseq\salmon\SRR32965275\quant.sf;results/rnaseq/phase7c_candidate_reference_validation.tsv;data/interim/rnaseq/phase7c/smic_tokyo.tx2gene.tsv;results/rnaseq/phase7d_candidate_expression_matrix.tsv;results/rnaseq/phase7d_salmon_quant_summary.tsv;results/orthology/candidate_duplication_audit.tsv;results/rnaseq/phase7e_candidate_expression_hardened.tsv;results/rnaseq/phase7e_run_qc_review.tsv;results/rnaseq/phase7e_parameter_review.tsv;results/evidence/phase8a_expression_support_evidence.tsv;results/evidence/phase8b_tier_audit.tsv	low;low_reference_mapping_risk;low_mapping_rate_caveat;very_low_mapping_rate_caveat;phase7e_retina_expression_qc_caveat;phase8b_artifact_risk_low	Plausible but incomplete computational evidence. Phase 7e records cautious retina-specific expression detection for CHEK2 in 3/3 quantified runs (median TPM 10.541130). This supports transcript detection in retina only and does not establish differential expression, pathway state, function, or longevity mechanism. Phase 8b final audit retains Tier 2 and classifies this candidate as PLAUSIBLE_LEAD_REQUIRES_VALIDATION with low artifact-risk level. This is a reporting-readiness classification, not a new biological mechanism claim.	Hypothesis-generating; requires validation before biological interpretation. Phase 7e adds retina-specific expression context only; the integrated biological tier is unchanged. Phase 8b does not upgrade aging or longevity relevance beyond the validated evidence tier.	NOT_ASSESSED	REQUIRES_VALIDATION: confirm orthology, domain integrity, and annotation consistency before biological interpretation.;Run read QC, quantify with recorded parameters, review multi-mapping and isoform/paralog ambiguity, and keep interpretation retina-specific.;Confirm expression-support interpretation with decoy-aware Salmon or genome-aligned counting for ambiguous loci before Phase 8 claims.;Do not upgrade biological evidence tier from expression alone.;Require orthology, locus identity, domain integrity, cross-resource support, and expression-reference validation before stronger claims.;Phase 8b final tier audit requires all mechanism-level claims to remain traceable to supporting tables and validation caveats.	Avoid activated/inactivated/absent/causal wording unless direct evidence supports it.;Use Phase 7e only for retina-specific detected/not-detected expression support. Do not infer activation, differential expression, pathway state, organism-wide aging, causation, functional advantage, gene absence, or longevity mechanism.;Phase 8a expression context cannot upgrade biological tiers without all required validation criteria.;Phase 8b is a conservative audit layer. Do not infer mechanism, pathway activity, functional advantage, clinical relevance, causation, validated duplication, telomere length, or organism-wide aging from this table alone.
Chromatin and epigenome-related regulation	HMGB1	candidate_presence_or_not_assessed;phase8a_retina_expression_support_cautious;phase8b_final_tier_audit	Tier 2	ARAD_REFSEQ_2026;RTYP_REFSEQ_2022;SCAN_REFSEQ_2026;SMIC_TOKYO_GENOME_2025;results\rnaseq\salmon\SRR32965275\quant.sf;results/rnaseq/phase7c_candidate_reference_validation.tsv;data/interim/rnaseq/phase7c/smic_tokyo.tx2gene.tsv;results/rnaseq/phase7d_candidate_expression_matrix.tsv;results/rnaseq/phase7d_salmon_quant_summary.tsv;results/orthology/candidate_duplication_audit.tsv;results/rnaseq/phase7e_candidate_expression_hardened.tsv;results/rnaseq/phase7e_run_qc_review.tsv;results/rnaseq/phase7e_parameter_review.tsv;results/evidence/phase8a_expression_support_evidence.tsv;results/evidence/phase8b_tier_audit.tsv	low;low_reference_mapping_risk;low_mapping_rate_caveat;very_low_mapping_rate_caveat;phase7e_retina_expression_qc_caveat;phase8b_artifact_risk_low	Plausible but incomplete computational evidence. Phase 7e records cautious retina-specific expression detection for HMGB1 in 3/3 quantified runs (median TPM 421.742430). This supports transcript detection in retina only and does not establish differential expression, pathway state, function, or longevity mechanism. Phase 8b final audit retains Tier 2 and classifies this candidate as PLAUSIBLE_LEAD_REQUIRES_VALIDATION with low artifact-risk level. This is a reporting-readiness classification, not a new biological mechanism claim.	Hypothesis-generating; requires validation before biological interpretation. Phase 7e adds retina-specific expression context only; the integrated biological tier is unchanged. Phase 8b does not upgrade aging or longevity relevance beyond the validated evidence tier.	NOT_ASSESSED	REQUIRES_VALIDATION: confirm orthology, domain integrity, and annotation consistency before biological interpretation.;Run read QC, quantify with recorded parameters, review multi-mapping and isoform/paralog ambiguity, and keep interpretation retina-specific.;Confirm expression-support interpretation with decoy-aware Salmon or genome-aligned counting for ambiguous loci before Phase 8 claims.;Do not upgrade biological evidence tier from expression alone.;Require orthology, locus identity, domain integrity, cross-resource support, and expression-reference validation before stronger claims.;Phase 8b final tier audit requires all mechanism-level claims to remain traceable to supporting tables and validation caveats.	Avoid activated/inactivated/absent/causal wording unless direct evidence supports it.;Use Phase 7e only for retina-specific detected/not-detected expression support. Do not infer activation, differential expression, pathway state, organism-wide aging, causation, functional advantage, gene absence, or longevity mechanism.;Phase 8a expression context cannot upgrade biological tiers without all required validation criteria.;Phase 8b is a conservative audit layer. Do not infer mechanism, pathway activity, functional advantage, clinical relevance, causation, validated duplication, telomere length, or organism-wide aging from this table alone.
Chromatin and epigenome-related regulation	SMARCA4	candidate_presence_or_not_assessed;phase8a_retina_expression_support_cautious;phase8b_final_tier_audit	Tier 2	ARAD_REFSEQ_2026;CMIL_REFSEQ_2021;RTYP_REFSEQ_2022;SCAN_REFSEQ_2026;SMIC_TOKYO_GENOME_2025;results\rnaseq\salmon\SRR32965275\quant.sf;results/rnaseq/phase7c_candidate_reference_validation.tsv;data/interim/rnaseq/phase7c/smic_tokyo.tx2gene.tsv;results/rnaseq/phase7d_candidate_expression_matrix.tsv;results/rnaseq/phase7d_salmon_quant_summary.tsv;results/orthology/candidate_duplication_audit.tsv;results/rnaseq/phase7e_candidate_expression_hardened.tsv;results/rnaseq/phase7e_run_qc_review.tsv;results/rnaseq/phase7e_parameter_review.tsv;results/evidence/phase8a_expression_support_evidence.tsv;results/evidence/phase8b_tier_audit.tsv	low;low_reference_mapping_risk;low_mapping_rate_caveat;very_low_mapping_rate_caveat;phase7e_retina_expression_qc_caveat;phase8b_artifact_risk_low	Plausible but incomplete computational evidence. Phase 7e records cautious retina-specific expression detection for SMARCA4 in 3/3 quantified runs (median TPM 4.932403). This supports transcript detection in retina only and does not establish differential expression, pathway state, function, or longevity mechanism. Phase 8b final audit retains Tier 2 and classifies this candidate as PLAUSIBLE_LEAD_REQUIRES_VALIDATION with low artifact-risk level. This is a reporting-readiness classification, not a new biological mechanism claim.	Hypothesis-generating; requires validation before biological interpretation. Phase 7e adds retina-specific expression context only; the integrated biological tier is unchanged. Phase 8b does not upgrade aging or longevity relevance beyond the validated evidence tier.	NOT_ASSESSED	REQUIRES_VALIDATION: confirm orthology, domain integrity, and annotation consistency before biological interpretation.;Run read QC, quantify with recorded parameters, review multi-mapping and isoform/paralog ambiguity, and keep interpretation retina-specific.;Confirm expression-support interpretation with decoy-aware Salmon or genome-aligned counting for ambiguous loci before Phase 8 claims.;Do not upgrade biological evidence tier from expression alone.;Require orthology, locus identity, domain integrity, cross-resource support, and expression-reference validation before stronger claims.;Phase 8b final tier audit requires all mechanism-level claims to remain traceable to supporting tables and validation caveats.	Avoid activated/inactivated/absent/causal wording unless direct evidence supports it.;Use Phase 7e only for retina-specific detected/not-detected expression support. Do not infer activation, differential expression, pathway state, organism-wide aging, causation, functional advantage, gene absence, or longevity mechanism.;Phase 8a expression context cannot upgrade biological tiers without all required validation criteria.;Phase 8b is a conservative audit layer. Do not infer mechanism, pathway activity, functional advantage, clinical relevance, causation, validated duplication, telomere length, or organism-wide aging from this table alone.
Telomere-related biology	TERT	candidate_presence_or_not_assessed;phase8a_retina_expression_support_limited_exploratory;phase8b_final_tier_audit	Tier 2	ARAD_REFSEQ_2026;CMIL_REFSEQ_2021;RTYP_REFSEQ_2022;SCAN_REFSEQ_2026;SMIC_TOKYO_GENOME_2025;results\rnaseq\salmon\SRR32965275\quant.sf;results/rnaseq/phase7c_candidate_reference_validation.tsv;data/interim/rnaseq/phase7c/smic_tokyo.tx2gene.tsv;results/rnaseq/phase7d_candidate_expression_matrix.tsv;results/rnaseq/phase7d_salmon_quant_summary.tsv;results/orthology/candidate_duplication_audit.tsv;results/rnaseq/phase7e_candidate_expression_hardened.tsv;results/rnaseq/phase7e_run_qc_review.tsv;results/rnaseq/phase7e_parameter_review.tsv;config/candidate_panels.yaml;results/orthology/candidate_copy_number.tsv;results/evidence/integrated_evidence.tsv;results/evidence/phase8a_expression_support_evidence.tsv;results/evidence/phase8b_tier_audit.tsv	low;low_reference_mapping_risk;low_mapping_rate_caveat;very_low_mapping_rate_caveat;limited_exploratory_retina_expression_signal;phase8b_artifact_risk_low	Plausible but incomplete computational evidence. Phase 7e records limited retina expression signal for TERT in 1/3 quantified runs (median TPM 0.899289). Treat this as exploratory tissue signal only. Phase 8b final audit retains Tier 2 and classifies this candidate as PLAUSIBLE_LEAD_REQUIRES_VALIDATION with low artifact-risk level. This is a reporting-readiness classification, not a new biological mechanism claim.	Hypothesis-generating; requires validation before biological interpretation. Phase 7e adds retina-specific expression context only; the integrated biological tier is unchanged. Phase 8b does not upgrade aging or longevity relevance beyond the validated evidence tier.	NOT_ASSESSED	REQUIRES_VALIDATION: confirm orthology, domain integrity, and annotation consistency before biological interpretation.;Run read QC, quantify with recorded parameters, review multi-mapping and isoform/paralog ambiguity, and keep interpretation retina-specific.;Confirm expression-support interpretation with decoy-aware Salmon or genome-aligned counting for ambiguous loci before Phase 8 claims.;Do not upgrade biological evidence tier from expression alone.;Require orthology, locus identity, domain integrity, cross-resource support, and expression-reference validation before stronger claims.;Confirm orthology, domain architecture, locus context, annotation consistency, and cross-resource support before telomere-related biological interpretation.;Phase 8b final tier audit requires all mechanism-level claims to remain traceable to supporting tables and validation caveats.	Avoid activated/inactivated/absent/causal wording unless direct evidence supports it.;Use Phase 7e only for retina-specific detected/not-detected expression support. Do not infer activation, differential expression, pathway state, organism-wide aging, causation, functional advantage, gene absence, or longevity mechanism.;Phase 8a expression context cannot upgrade biological tiers without all required validation criteria.;Phase 8b is a conservative audit layer. Do not infer mechanism, pathway activity, functional advantage, clinical relevance, causation, validated duplication, telomere length, or organism-wide aging from this table alone.
